experiment_id,temperature_c,ph,ionic_strength_mol_kg,model_n,model_mae_normalized,model_rmse_normalized,model_bias_normalized,model_r2,baseline_n,baseline_mae_normalized,baseline_rmse_normalized,baseline_bias_normalized,baseline_r2,interval_coverage
2020-10_column_162,40.0,10.0,0.0150779,7,0.10538967465770796,0.11393053732170988,0.10538967465770796,-5.171266747357821,7,0.09432274506368146,0.10375047357542169,0.09432274506368146,-4.11769268407271,0.8571428571428571
2020-11_column_165,40.0,7.0,0.0181721,6,0.054337668005187266,0.058727491732937946,-0.030753771963253382,-5.360962107994226,6,0.2650482360944118,0.2653577061585618,-0.2650482360944118,-128.86834688977135,0.8333333333333334
2020-12_column_168,40.0,9.04,0.017998,6,0.15460413251899338,0.15852722991497278,-0.15460413251899338,-333.3801740397432,6,0.36545151215270044,0.36555431561922425,-0.36545151215270044,-1777.0198638271515,0.3333333333333333
2020-13_column_171,40.0,10.0,0.0177775,6,0.44192275944167275,0.44278536324201945,-0.44192275944167275,-64.48991954549557,6,0.683903665553495,0.6860202413893847,-0.683903665553495,-156.20335272714271,0.0
2020-1_column_138,40.0,3.0,0.018,8,0.11888291534764717,0.12212493687778413,0.11888291534764717,-11.258351604641469,8,0.10405478933172635,0.10731423924714201,-0.10405478933172635,-8.465380390473355,0.0
2020-2_column_141,40.0,4.0,0.02,7,0.07630742905560095,0.0770536775509023,0.07630742905560095,-77.06754513479318,7,0.2389955396464023,0.23943425363014775,-0.2389955396464023,-752.8003636511587,1.0
2020-3_column_144,40.0,5.0,0.025,5,0.0508047214306804,0.0531453801239082,-0.0508047214306804,-19.203722123497492,5,0.23732282347972608,0.2376136146973295,-0.23732282347972608,-402.87130103446776,0.0
2020-5_column_147,40.0,4.0,0.026,10,0.30608727442563977,0.3165931113257072,0.30608727442563977,-13.416033068220434,10,0.3040471901737402,0.31454696340624505,0.3040471901737402,-13.230292986918998,0.1
2020-6_column_150,40.0,5.02,0.013,7,0.18079333436760758,0.18125133023276008,0.18079333436760758,-330.6065207894272,7,0.036250956142260246,0.044511908503786876,-0.01643505157912471,-18.999221388937517,1.0
2020-7_column_153,40.0,8.09,0.018783,6,0.17878160444530422,0.17912473678569427,-0.17878160444530422,-293.18061916322074,6,0.25112745749091353,0.2513445202035674,-0.25112745749091353,-578.217626486961,0.5
2020-8_column_156,40.0,5.9,0.0257222,6,0.1455632731351032,0.16128297935436767,0.1455632731351032,-57.4930771561454,6,0.1987556999619358,0.20102763576237073,-0.1987556999619358,-89.8738491947296,1.0
2020-9_column_159,40.0,5.94,0.0126736,4,0.051772526734029975,0.05857641687134492,0.051772526734029975,-9.012814776772379,4,0.1478021125858151,0.17163891146734025,-0.1478021125858151,-84.96904076670052,0.75
